rank,char,count,ratio
1,e,104744,0.097745
2,t,74540,0.069559
3,a,67413,0.062908
4,o,65944,0.061538
5,n,55537,0.051826
6,h,55305,0.051610
7,i,51962,0.048490
8,s,50965,0.047560
9,r,49028,0.045752
10,d,36605,0.034159
11,l,32940,0.030739
12,u,25481,0.023778
13,m,21624,0.020179
14,w,20809,0.019419
15,c,20144,0.018798
16,f,17487,0.016319
17,y,16646,0.015534
18,g,15701,0.014652
19,p,12561,0.011722
20,b,11168,0.010422
21,v,8438,0.007874
22,k,6866,0.006407
23,x,1200,0.001120
24,q,653,0.000609
25,j,626,0.000584
26,z,473,0.000441
